Assay Name	Source Name	COSMIC_ID	cell_line_name
5500994157493061613625_A01	J132_EPA01P1_CAL-120_Breast_906826	906826	CAL-120
5500994157493061613625_A02	J132_EPA02P1_DMS-114_Lung_687983	687983	DMS-114
5500994157493061613625_A03	J132_EPA03P1_CAL-51_Breast_910927	910927	CAL-51
5500994157493061613625_A04	J132_EPA04P1_H2869_Lung_1240138	1240138	H2869
5500994157493061613625_A05	J132_EPA05P1_H290_Lung_1240139	1240139	H290
5500994157493061613625_A06	J132_EPA06P1_A2058_Skin_906792	906792	A2058
5500994157493061613625_A07	J132_EPA07P1_CESS_Blood_910688	910688	CESS
5500994157493061613625_A08	J132_EPA08P1_H2803_Lung_1240135	1240135	H2803
5500994157493061613625_A09	J132_EPA09P1_H2722_Lung_1290812	1290812	H2722
5500994157493061613625_A10	J132_EPA10P1_HCC1419_Breast_907045	907045	HCC1419
5500994157493061613625_A11	J132_EPA11P1_ETK-1_Biliary_906861	906861	ETK-1
5500994157493061613625_A12	J132_EPA12P1_C32_Skin_906830	906830	C32
5500994157493061613625_B01	J132_EPB01P1_SW1783_CNS_909750	909750	SW1783
5500994157493061613625_B02	J132_EPB02P1_H2810_Lung_1240137	1240137	H2810
5500994157493061613625_B03	J132_EPB03P1_DSH1_Bladder_753552	753552	DSH1
5500994157493061613625_B04	J132_EPB04P1_HT-1197_Bladder_907065	907065	HT-1197
5500994157493061613625_B05	J132_EPB05P1_MDA-MB-157_Breast_925338	925338	MDA-MB-157
5500994157493061613625_B06	J132_EPB06P1_H2373_Lung_1290809	1290809	H2373
5500994157493061613625_B07	J132_EPB07P1_ES1_Bone_949158	949158	ES1
5500994157493061613625_B08	J132_EPB08P1_HDLM-2_Blood_924110	924110	HDLM-2
5500994157493061613625_B09	J132_EPB09P1_H2731_Lung_1240134	1240134	H2731
5500994157493061613625_B10	J132_EPB10P1_IST-MEL1_Skin_907172	907172	IST-MEL1
5500994157493061613625_B11	J132_EPB11P1_5637_Bladder_687452	687452	5637
5500994157493061613625_B12	J132_EPB12P1_786-o_Kidney_905947	905947	786-o
5500994157493061613625_C01	J132_EPC01P1_HeLa_Cervix_1298134	1298134	HeLa
5500994157493061613625_C02	J132_EPC02P1_HMV-II_Skin_907058	907058	HMV-II
5500994157493061613625_C03	J132_EPC03P1_H2818_Lung_1290814	1290814	H2818
5500994157493061613625_C04	J132_EPC04P1_M14_Skin_905975	905975	M14
5500994157493061613625_C05	J132_EPC05P1_HT-29_Intestin_905939	905939	HT-29
5500994157493061613625_C06	J132_EPC06P1_AU565_Breast_910704	910704	AU565
5500994157493061613625_C07	J132_EPC07P1_NCI-H441_Lung_908460	908460	NCI-H441
5500994157493061613625_C08	J132_EPC08P1_SW1088_CNS_909745	909745	SW1088
5500994157493061613625_C09	J132_EPC09P1_IST-MES1_Lung_907173	907173	IST-MES1
5500994157493061613625_C10	J132_EPC10P1_HCT-116_Intestin_905936	905936	HCT-116
5500994157493061613625_C11	J132_EPC11P1_GA-10_Blood_1303896	1303896	GA-10
5500994157493061613625_C12	J132_EPC12P1_KYSE-450_Esophag_907320	907320	KYSE-450
5500994157493061613625_D01	J132_EPD01P1_NCI-H2052_Lung_688058	688058	NCI-H2052
5500994157493061613625_D02	J132_EPD02P1_LOXIMVI_Skin_905974	905974	LOXIMVI
5500994157493061613625_D03	J132_EPD03P1_HOS_Bone_907060	907060	HOS
5500994157493061613625_D04	J132_EPD04P1_NCI-H28_Lung_908470	908470	NCI-H28
5500994157493061613625_D05	J132_EPD05P1_NCI-H358_Lung_908465	908465	NCI-H358
5500994157493061613625_D06	J132_EPD06P1_Becker_CNS_906746	906746	Becker
5500994157493061613625_D07	J132_EPD07P1_RS4-11_Blood_909703	909703	RS4-11
5500994157493061613625_D08	J132_EPD08P1_NCI-H727_Lung_724855	724855	NCI-H727
5500994157493061613625_D09	J132_EPD09P1_NCI-H1299_Lung_724831	724831	NCI-H1299
5500994157493061613625_D10	J132_EPD10P1_COLO-800_Skin_906813	906813	COLO-800
5500994157493061613625_D11	J132_EPD11P1_BT-474_Breast_946359	946359	BT-474
5500994157493061613625_D12	J132_EPD12P1_Saos-2_Bone_909707	909707	Saos-2
5500994157493061613625_E01	J132_EPE01P1_NCI-H838_Lung_910399	910399	NCI-H838
5500994157493061613625_E02	J132_EPE02P1_NCI-H2228_Lung_687816	687816	NCI-H2228
5500994157493061613625_E03	J132_EPE03P1_LS-411N_Intestin_907794	907794	LS-411N
5500994157493061613625_E04	J132_EPE04P1_RKO_Intestin_909698	909698	RKO
5500994157493061613625_E05	J132_EPE05P1_RPMI-7951_Skin_910903	910903	RPMI-7951
5500994157493061613625_E06	J132_EPE06P1_CAL-54_Kidney_910952	910952	CAL-54
5500994157493061613625_E07	J132_EPE07P1_WM-115_Skin_909784	909784	WM-115
5500994157493061613625_E08	J132_EPE08P1_NCI-H2009_Lung_724873	724873	NCI-H2009
5500994157493061613625_E09	J132_EPE09P1_ES3_Bone_684055	684055	ES3
5500994157493061613625_E10	J132_EPE10P1_COLO-741_Intestin_906815	906815	COLO-741
5500994157493061613625_E11	J132_EPE11P1_D-283MED_CNS_906834	906834	D-283MED
5500994157493061613625_F01	J132_EPF01P1_639-V_Bladder_906798	906798	639-V
5500994157493061613625_F02	J132_EPF02P1_OE19_Esophag_910079	910079	OE19
5500994157493061613625_F03	J132_EPF03P1_NCI-H2452_Lung_908462	908462	NCI-H2452
5500994157493061613625_F04	J132_EPF04P1_EFM-192A_Breast_1290798	1290798	EFM-192A
5500994157493061613625_F05	J132_EPF05P1_UACC-62_Skin_905976	905976	UACC-62
5500994157493061613625_F06	J132_EPF06P1_DU-4475_Breast_906844	906844	DU-4475
5500994157493061613625_F07	J132_EPF07P1_SISO_Cervix_1240212	1240212	SISO
5500994157493061613625_F08	J132_EPF08P1_JHH-1_Liver_1298151	1298151	JHH-1
5500994157493061613625_F09	J132_EPF09P1_COLO-680N_Esophag_906817	906817	COLO-680N
5500994157493061613625_F10	J132_EPF10P1_ESO51_Esophag_1503367	1503367	ESO51
5500994157493061613625_F11	J132_EPF11P1_CAL-33_H&N_753541	753541	CAL-33
5500994157493061613625_G01	J132_EPG01P1_CAL-29_Bladder_1290730	1290730	CAL-29
5500994157493061613625_G02	J132_EPG02P1_UACC-257_Skin_905977	905977	UACC-257
5500994157493061613625_G03	J132_EPG03P1_PA-1_Ovary_909255	909255	PA-1
5500994157493061613625_G04	J132_EPG04P1_H2591_Lung_1240131	1240131	H2591
5500994157493061613625_G05	J132_EPG05P1_H513_Lung_1240141	1240141	H513
5500994157493061613625_G06	J132_EPG06P1_H2461_Lung_1290810	1290810	H2461
5500994157493061613625_G07	J132_EPG07P1_KELLY_CNS_753618	753618	KELLY
5500994157493061613625_G08	J132_EPG08P1_NCI-H661_Lung_687829	687829	NCI-H661
5500994157493061613625_G09	J132_EPG09P1_ES8_Bone_949155	949155	ES8
5500994157493061613625_G10	J132_EPG10P1_H2795_Lung_1290813	1290813	H2795
5500994157493061613625_G11	J132_EPG11P1_SW1417_Intestin_909747	909747	SW1417
5500994157493061613625_H01	J132_EPH01P1_H2369_Lung_1290808	1290808	H2369
5500994157493061613625_H02	J132_EPH02P1_647-V_Bladder_906797	906797	647-V
5500994157493061613625_H03	J132_EPH03P1_TGBC24TKB_Biliary_910695	910695	TGBC24TKB
5500994157493061613625_H04	J132_EPH04P1_H2595_Lung_1240132	1240132	H2595
5500994157493061613625_H05	J132_EPH05P1_MPP-89_Lung_908150	908150	MPP-89
5500994157493061613625_H06	J132_EPH06P1_IGR-1_Skin_907169	907169	IGR-1
5500994157493061613625_H07	J132_EPH07P1_NCI-H2030_Lung_722045	722045	NCI-H2030
5500994157493061613625_H08	J132_EPH08P1_SK-MEL-1_Skin_909723	909723	SK-MEL-1
5500994157493061613625_H09	J132_EPH09P1_COLO-205_Intestin_905961	905961	COLO-205
5500994157493061613625_H10	J132_EPH10P1_BFTC-905_Bladder_910926	910926	BFTC-905
5500994157493061613625_H11	J132_EPH11P1_H2804_Lung_1240136	1240136	H2804
5500994158987071513201_A02	J132_EPA02P7_REH_Blood_909696	909696	REH
5500994158987071513201_A03	J132_EPA03P7_RH-41_Muscle_1240210	1240210	RH-41
5500994158987071513201_A04	J132_EPA04P7_RPMI-8866_Blood_910544	910544	RPMI-8866
5500994158987071513201_A05	J132_EPA05P7_PANC-08-13_Pancreas_925347	925347	PANC-08-13
5500994158987071513201_A06	J132_EPA06P7_PCI-6A_Head & Neck_1240206	1240206	PCI-6A
5500994158987071513201_A07	J132_EPA07P7_NCI-H1792_Lung:NSCLC_724868	724868	NCI-H1792
5500994158987071513201_A08	J132_EPA08P7_NCI-H1355_Lung_724866	724866	NCI-H1355
5500994158987071513201_A09	J132_EPA09P7_NCI-H1048_Lung_687995	687995	NCI-H1048
5500994158987071513201_A10	J132_EPA10P7_OAW-42_Ovary_910548	910548	OAW-42
5500994158987071513201_A11	J132_EPA11P7_OE33_Esophagus_910549	910549	OE33
5500994158987071513201_A12	J132_EPA12P7_OVCAR-8_Ovary_905991	905991	OVCAR-8
5500994158987071513201_B01	J132_EPB01P7_Ramos-2G6-4C10_Blood_910401	910401	Ramos-2G6-4C10
5500994158987071513201_B02	J132_EPB02P7_RCC-JW_Kidney_1524416	1524416	RCC-JW
5500994158987071513201_B03	J132_EPB03P7_RH-18_Muscle_971774	971774	RH-18
5500994158987071513201_B04	J132_EPB04P7_RT4_Bladder_687455	687455	RT4
5500994158987071513201_B05	J132_EPB05P7_PANC-10-05_Pancreas_925348	925348	PANC-10-05
5500994158987071513201_B06	J132_EPB06P7_PE-CA-PJ15_Head & Neck_1240207	1240207	PE-CA-PJ15
5500994158987071513201_B07	J132_EPB07P7_NCI-H1304_Lung_753599	753599	NCI-H1304
5500994158987071513201_B08	J132_EPB08P7_NCI-H1915_Lung_1240184	1240184	NCI-H1915
5500994158987071513201_B09	J132_EPB09P7_NCI-H1623_Lung:NSCLC_687798	687798	NCI-H1623
5500994158987071513201_B10	J132_EPB10P7_OCI-AML2_Blood_910947	910947	OCI-AML2
5500994158987071513201_B11	J132_EPB11P7_ONS-76_CNS_909248	909248	ONS-76
5500994158987071513201_B12	J132_EPB12P7_OVISE_Ovary_1240198	1240198	OVISE
5500994158987071513201_C02	J132_EPC02P7_RC-K8_Blood_1330995	1330995	RC-K8
5500994158987071513201_C03	J132_EPC03P7_RL_Blood_910861	910861	RL
5500994158987071513201_C04	J132_EPC04P7_RT-112_Bladder_909704	909704	RT-112
5500994158987071513201_C05	J132_EPC05P7_PA-TU-8988T_Pancreas_1240201	1240201	PA-TU-8988T
5500994158987071513201_C06	J132_EPC06P7_PF-382_Blood_909260	909260	PF-382
5500994158987071513201_C07	J132_EPC07P7_NCI-H1395_Lung_684681	684681	NCI-H1395
5500994158987071513201_C08	J132_EPC08P7_NCI-H1755_Lung:NSCLC_908475	908475	NCI-H1755
5500994158987071513201_C09	J132_EPC09P7_NCI-H1793_Lung:NSCLC_908463	908463	NCI-H1793
5500994158987071513201_C10	J132_EPC10P7_RXF393_Kidney_905978	905978	RXF393
5500994158987071513201_C11	J132_EPC11P7_OSC-19_Head & Neck_1298362	1298362	OSC-19
5500994158987071513201_C12	J132_EPC12P7_OVKATE_Ovary_1240199	1240199	OVKATE
5500994158987071513201_D01	J132_EPD01P7_RCC-AB_Kidney_1524418	1524418	RCC-AB
5500994158987071513201_D02	J132_EPD02P7_RERF-GC-1B_Stomach_1240209	1240209	RERF-GC-1B
5500994158987071513201_D03	J132_EPD03P7_RMG-I_Ovary_909699	909699	RMG-I
5500994158987071513201_D04	J132_EPD04P7_RVH-421_Skin_909706	909706	RVH-421
5500994158987071513201_D05	J132_EPD05P7_PC-14_Lung:NSCLC_753608	753608	PC-14
5500994158987071513201_D06	J132_EPD06P7_PFSK-1_Brain_683667	683667	PFSK-1
5500994158987071513201_D07	J132_EPD07P7_NCI-H1581_Lung:NSCLC_908471	908471	NCI-H1581
5500994158987071513201_D08	J132_EPD08P7_NCI-H1963_Lung_688010	688010	NCI-H1963
5500994158987071513201_D09	J132_EPD09P7_NCI-H146_Lung_910899	910899	NCI-H146
5500994158987071513201_D10	J132_EPD10P7_QGP-1_Pancreas_1298534	1298534	QGP-1
5500994158987071513201_D11	J132_EPD11P7_OPM-2_Blood_909249	909249	OPM-2
5500994158987071513201_D12	J132_EPD12P7_OVMIU_Ovary_1240200	1240200	OVMIU
5500994158987071513201_E01	J132_EPE01P7_RCM-1_Intestine_909263	909263	RCM-1
5500994158987071513201_E02	J132_EPE02P7_RERF-LC-MS_Lung:NSCLC_910931	910931	RERF-LC-MS
5500994158987071513201_E03	J132_EPE03P7_RPMI-2650_Head & Neck_909700	909700	RPMI-2650
5500994158987071513201_E04	J132_EPE04P7_QIMR-WIL_Blood_910545	910545	QIMR-WIL
5500994158987071513201_E05	J132_EPE05P7_PC-3_[JPC-3]_Lung_1240202	1240202	PC-3
5500994158987071513201_E06	J132_EPE06P7_PL18_Pancreas_1240208	1240208	PL18
5500994158987071513201_E07	J132_EPE07P7_NCI-H1092_Lung_687997	687997	NCI-H1092
5500994158987071513201_E08	J132_EPE08P7_NCI-H1573_Lung:NSCLC_908472	908472	NCI-H1573
5500994158987071513201_E09	J132_EPE09P7_NCI-H1651_Lung:NSCLC_910900	910900	NCI-H1651
5500994158987071513201_E10	J132_EPE10P7_RKN_Ovary_1298539	1298539	RKN
5500994158987071513201_E11	J132_EPE11P7_OSC-20_Head & Neck_1240196	1240196	OSC-20
5500994158987071513201_E12	J132_EPE12P7_PSN1_Pancreas_910546	910546	PSN1
5500994158987071513201_F02	J132_EPF02P7_RF-48_Stomach_909697	909697	RF-48
5500994158987071513201_F03	J132_EPF03P7_RO82-W-1_Thyroid_930083	930083	RO82-W-1
5500994158987071513201_F04	J132_EPF04P7_P12-ICHIKAWA_Blood_909251	909251	P12-ICHIKAWA
5500994158987071513201_F05	J132_EPF05P7_PCI-30_Head & Neck_1298529	1298529	PCI-30
5500994158987071513201_F06	J132_EPF06P7_P32-ISH_Blood_1330987	1330987	P32-ISH
5500994158987071513201_F07	J132_EPF07P7_NCI-H1648_Lung:NSCLC_687799	687799	NCI-H1648
5500994158987071513201_F08	J132_EPF08P7_NCI-H1734_Lung:NSCLC_722058	722058	NCI-H1734
5500994158987071513201_F09	J132_EPF09P7_NCI-H1563_Lung:NSCLC_753600	753600	NCI-H1563
5500994158987071513201_F10	J132_EPF10P7_RCC-MF_Kidney_1524419	1524419	RCC-MF
5500994158987071513201_F11	J132_EPF11P7_OV-90_Ovary_1240197	1240197	OV-90
5500994158987071513201_F12	J132_EPF12P7_PL-21_Blood_1330991	1330991	PL-21
5500994158987071513201_G02	J132_EPG02P7_RERF-LC-Sq1_Lung:NSCLC_1298538	1298538	RERF-LC-Sq1
5500994158987071513201_G03	J132_EPG03P7_RPMI-6666_Blood_909701	909701	RPMI-6666
5500994158987071513201_G04	J132_EPG04P7_P30-OHK_Blood_909252	909252	P30-OHK
5500994158987071513201_G05	J132_EPG05P7_PCI-15A_Head & Neck_1240204	1240204	PCI-15A
5500994158987071513201_G06	J132_EPG06P7_OAW-28_Ovary_946360	946360	OAW-28
5500994158987071513201_G07	J132_EPG07P7_NCI-H1688_Lung_1298349	1298349	NCI-H1688
5500994158987071513201_G08	J132_EPG08P7_NCI-H1568_Lung:NSCLC_1298348	1298348	NCI-H1568
5500994158987071513201_G10	J132_EPG10P7_OCUB-M_Breast_909256	909256	OCUB-M
5500994158987071513201_G11	J132_EPG11P7_OVCAR-5_Ovary_905969	905969	OVCAR-5
5500994158987071513201_G12	J132_EPG12P7_NCI-H1944_Lung_1240185	1240185	NCI-H1944
5500994158987071513201_H01	J132_EPH01P7_RD_Muscle_909264	909264	RD
5500994158987071513201_H02	J132_EPH02P7_RH-1_Muscle_971773	971773	RH-1
5500994158987071513201_H03	J132_EPH03P7_RPMI-8226_Blood_905964	905964	RPMI-8226
5500994158987071513201_H04	J132_EPH04P7_PANC-03-27_Pancreas_925346	925346	PANC-03-27
5500994158987071513201_H05	J132_EPH05P7_PCI-38_Head & Neck_1240205	1240205	PCI-38
5500994158987071513201_H06	J132_EPH06P7_OC-314_Ovary_909257	909257	OC-314
5500994158987071513201_H07	J132_EPH07P7_NCI-H1993_Lung:NSCLC_908476	908476	NCI-H1993
5500994158987071513201_H08	J132_EPH08P7_NCI-H1155_Lung:NSCLC_908467	908467	NCI-H1155
5500994158987071513201_H09	J132_EPH09P7_NCI-H1781_Lung:NSCLC_1298350	1298350	NCI-H1781
5500994158987071513201_H10	J132_EPH10P7_OE21_Esophagus_1298359	1298359	OE21
5500994158987071513201_H11	J132_EPH11P7_OS-RC-2_Kidney_909250	909250	OS-RC-2
5500994158987071513201_H12	J132_EPH12P7_NCI-H187_Lung_688007	688007	NCI-H187
5500994158987071513202_A01	J132_EPA01P4_KYSE-520_Esophagus_753575	753575	KYSE-520
5500994158987071513202_A02	J132_EPA02P4_KURAMOCHI_Ovary_909975	909975	KURAMOCHI
5500994158987071513202_A04	J132_EPA04P4_KINGS-1_CNS_907279	907279	KINGS-1
5500994158987071513202_A05	J132_EPA05P4_LCLC-97TM1_Lung:NSCLC_946361	946361	LCLC-97TM1
5500994158987071513202_A06	J132_EPA06P4_LU-99A_Lung:NSCLC_907796	907796	LU-99A
5500994158987071513202_A07	J132_EPA07P4_LU-134-A_Lung_753588	753588	LU-134-A
5500994158987071513202_A08	J132_EPA08P4_LOU-NH91_Lung:NSCLC_1298226	1298226	LOU-NH91
5500994158987071513202_A09	J132_EPA09P4_GAMG_Brain_906868	906868	GAMG
5500994158987071513202_A10	J132_EPA10P4_GMS-10_Brain_906873	906873	GMS-10
5500994158987071513202_A11	J132_EPA11P4_MFE-319_Uterus_1240174	1240174	MFE-319
5500994158987071513202_A12	J132_EPA12P4_MONO-MAC-1_Blood_1330955	1330955	MONO-MAC-1
5500994158987071513202_B01	J132_EPB01P4_KLE_Uterus_924187	924187	KLE
5500994158987071513202_B02	J132_EPB02P4_KY821_Blood_907300	907300	KY821
5500994158987071513202_B03	J132_EPB03P4_KATOIII_Stomach_907276	907276	KATOIII
5500994158987071513202_B04	J132_EPB04P4_KE-37_Blood_907277	907277	KE-37
5500994158987071513202_B05	J132_EPB05P4_LCLC-103H_Lung:NSCLC_753586	753586	LCLC-103H
5500994158987071513202_B06	J132_EPB06P4_L-1236_Blood_1330935	1330935	L-1236
5500994158987071513202_B07	J132_EPB07P4_LN-405_Brain_910694	910694	LN-405
5500994158987071513202_B08	J132_EPB08P4_L-540_Blood_907323	907323	L-540
5500994158987071513202_B09	J132_EPB09P4_GAK_Skin_910932	910932	GAK
5500994158987071513202_B10	J132_EPB10P4_GP5d_Intestine_907291	907291	GP5d
5500994158987071513202_B11	J132_EPB11P4_MFM-223_Breast_910948	910948	MFM-223
5500994158987071513202_B12	J132_EPB12P4_MES-SA_Uterus_908127	908127	MES-SA
5500994158987071513202_C01	J132_EPC01P4_KYSE-270_Esophagus_907319	907319	KYSE-270
5500994158987071513202_C02	J132_EPC02P4_KYSE-410_Esophagus_753574	753574	KYSE-410
5500994158987071513202_C03	J132_EPC03P4_KARPAS-231_Blood_1327774	1327774	KARPAS-231
5500994158987071513202_C04	J132_EPC04P4_KP-3_Pancreas_1298219	1298219	KP-3
5500994158987071513202_C05	J132_EPC05P4_LC-2-ad_Lung_907786	907786	LC-2-ad
5500994158987071513202_C06	J132_EPC06P4_L-363_Blood_924239	924239	L-363
5500994158987071513202_C07	J132_EPC07P4_LN-229_Brain_1240169	1240169	LN-229
5500994158987071513202_C08	J132_EPC08P4_FADU_Head & Neck_906863	906863	FADU
5500994158987071513202_C09	J132_EPC09P4_G-401_Kidney_907299	907299	G-401
5500994158987071513202_C10	J132_EPC10P4_GI-1_CNS_906871	906871	GI-1
5500994158987071513202_C11	J132_EPC11P4_MFH-ino_Misc_925343	925343	MFH-ino
5500994158987071513202_C12	J132_EPC12P4_MEG-01_Blood_908126	908126	MEG-01
5500994158987071513202_D01	J132_EPD01P4_KYSE-510_Esophagus_907321	907321	KYSE-510
5500994158987071513202_D02	J132_EPD02P4_KU812_Blood_907311	907311	KU812
5500994158987071513202_D03	J132_EPD03P4_K052_Blood_907284	907284	K052
5500994158987071513202_D04	J132_EPD04P4_KCL-22_Blood_1330931	1330931	KCL-22
5500994158987071513202_D05	J132_EPD05P4_LAN-6_PNS_949170	949170	LAN-6
5500994158987071513202_D06	J132_EPD06P4_LXF-289_Lung_753592	753592	LXF-289
5500994158987071513202_D07	J132_EPD07P4_LN-18_Brain_1240168	1240168	LN-18
5500994158987071513202_D08	J132_EPD08P4_FU97_Stomach_1290806	1290806	FU97
5500994158987071513202_D09	J132_EPD09P4_GCT_Miscellaneous_906999	906999	GCT
5500994158987071513202_D10	J132_EPD10P4_GI-ME-N_PNS_906872	906872	GI-ME-N
5500994158987071513202_D11	J132_EPD11P4_MFE-280_Uterus_908129	908129	MFE-280
5500994158987071513202_D12	J132_EPD12P4_MEC-2_Blood_1330944	1330944	MEC-2
5500994158987071513202_E02	J132_EPE02P4_KS-1_CNS_907313	907313	KS-1
5500994158987071513202_E03	J132_EPE03P4_KMRC-1_Kidney_1298168	1298168	KMRC-1
5500994158987071513202_E04	J132_EPE04P4_KOSC-2_Head & Neck_753570	753570	KOSC-2
5500994158987071513202_E05	J132_EPE05P4_LU-135_Lung_713899	713899	LU-135
5500994158987071513202_E06	J132_EPE06P4_LS-513_Intestine_907795	907795	LS-513
5500994158987071513202_E07	J132_EPE07P4_LNZTA3WT4_Brain_1240170	1240170	LNZTA3WT4
5500994158987071513202_E09	J132_EPE09P4_G-361_Skin_906865	906865	G-361
5500994158987071513202_E10	J132_EPE10P4_GR-ST_Blood_906877	906877	GR-ST
5500994158987071513202_E11	J132_EPE11P4_MOLT-16_Blood_908147	908147	MOLT-16
5500994158987071513202_E12	J132_EPE12P4_Mewo_Skin_908128	908128	Mewo
5500994158987071513202_F01	J132_EPF01P4_KYSE-70_Esophagus_753576	753576	KYSE-70
5500994158987071513202_F02	J132_EPF02P4_KOPN-8_Blood_1330933	1330933	KOPN-8
5500994158987071513202_F03	J132_EPF03P4_KMRC-20_Kidney_1298169	1298169	KMRC-20
5500994158987071513202_F04	J132_EPF04P4_LB2241-RCC_Kidney_753578	753578	LB2241-RCC
5500994158987071513202_F05	J132_EPF05P4_LU-65_Lung:NSCLC_724863	724863	LU-65
5500994158987071513202_F06	J132_EPF06P4_LS-180_Intestine_998189	998189	LS-180
5500994158987071513202_F07	J132_EPF07P4_LAMA-84_Blood_907783	907783	LAMA-84
5500994158987071513202_F08	J132_EPF08P4_FU-OV-1_Ovary_1240129	1240129	FU-OV-1
5500994158987071513202_F09	J132_EPF09P4_G-MEL_Skin_1240130	1240130	G-MEL
5500994158987071513202_F10	J132_EPF10P4_G-292-Clone-A141B1_Bone_1290807	1290807	G-292-Clone-A141B1
5500994158987071513202_F11	J132_EPF11P4_MOLT-13_Blood_908146	908146	MOLT-13
5500994158987071513202_F12	J132_EPF12P4_ME-180_Cervix_687514	687514	ME-180
5500994158987071513202_G01	J132_EPG01P4_KYSE-140_Esophagus_753573	753573	KYSE-140
5500994158987071513202_G02	J132_EPG02P4_KALS-1_CNS_907271	907271	KALS-1
5500994158987071513202_G03	J132_EPG03P4_KNS-81-FD_CNS_924188	924188	KNS-81-FD
5500994158987071513202_G04	J132_EPG04P4_LB647-SCLC_Lung_753582	753582	LB647-SCLC
5500994158987071513202_G05	J132_EPG05P4_LU-139_Lung_713878	713878	LU-139
5500994158987071513202_G06	J132_EPG06P4_LS-123_Intestine_907792	907792	LS-123
